Grade,R-1,SR-1,R-2,SR-2,R-3,SR-3,R-4,SR-4,R-5,SR-5,R-6,SR-6,R-7,SR-7,R-8,SR-8,R-9,SR-9,R-10,SR-10,R-11,SR-11,R-12,SR-12,R-13,SR-13,R-14,SR-14,R-15,SR-15,R-16,SR-16,R-17,SR-17,R-18,SR-18,R-19,SR-19,R-20,SR-20,R-21,SR-21,R-22,SR-22,R-23,SR-23,R-24,SR-24,R-25,SR-25
8,A,0,C,1,C,0,D,1,D,0,D,1,D,1,B,1,B,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,A,0,A,1,A,1,B,1,D,0,C,1,A,0,D,0
8,D,1,A,0,A,1,A,0,A,1,D,1,D,1,D,0,A,1,C,1,A,0,C,1,D,1,C,1,D,0,A,1,C,1,D,1,D,0,A,1,B,1,A,1,A,0,C,0,A,0
7,B,0,C,1,A,1,D,1,D,0,D,1,D,1,B,1,D,0,C,1,B,1,C,1,D,1,A,0,B,1,D,0,C,1,B,0,A,1,A,1,A,0,A,1,C,1,A,0,A,0
7,D,1,A,0,A,1,D,1,A,1,D,1,B,0,D,0,A,1,C,1,B,1,A,0,B,0,C,1,B,1,C,0,C,1,D,1,D,0,D,0,B,1,A,1,C,1,A,0,B,1
7,A,0,A,0,A,1,B,0,D,0,D,1,B,0,C,0,D,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,C,0,D,0,A,0,C,0,D,0
7,A,0,D,0,A,1,A,0,B,0,D,1,B,0,B,1,C,0,D,0,A,0,B,0,C,0,B,0,B,1,B,0,C,1,B,0,A,1,A,1,A,0,D,0,A,0,A,0,B,1
7,D,1,A,0,D,0,B,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,A,0,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,D,0,B,1
7,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,D,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,C,0,B,1,A,1,B,0,B,1,B,1
7,A,0,A,0,A,1,A,0,D,0,D,1,C,0,D,0,B,0,C,1,B,1,C,1,D,1,C,1,B,1,B,0,C,1,A,0,A,1,A,1,B,1,A,1,A,0,D,0,D,0
7,B,0,A,0,D,0,A,0,C,0,D,1,A,0,C,0,D,0,C,1,B,1,A,0,D,1,A,0,B,1,A,1,C,1,D,1,B,0,A,1,D,0,B,0,B,0,B,1,C,0
7,C,0,C,1,A,1,D,1,D,0,B,0,B,0,D,0,A,1,C,1,B,1,A,0,D,1,B,0,B,1,A,1,D,0,D,1,D,0,A,1,B,1,A,1,C,1,B,1,D,0
7,A,0,A,0,A,1,A,0,D,0,C,0,A,0,A,0,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,C,0,A,1,C,1,C,0,B,1
7,D,1,C,1,D,0,B,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,A,0
7,C,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,A,0,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,A,0
7,D,1,C,1,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,B,0,C,1,C,0,B,0,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,B,0,A,1,A,1,B,1,D,0,C,1,B,1,B,1
8,D,1,D,0,A,1,B,0,A,1,D,1,B,0,D,0,A,1,C,1,B,1,C,1,A,0,C,1,B,1,B,0,C,1,C,0,A,1,A,1,A,0,A,1,C,1,C,0,B,1
7,D,1,A,0,A,1,D,1,C,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,A,0,A,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,D,1,A,0,A,1,D,1,A,1,D,1,B,0,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,C,0,C,0,A,1,B,1,A,1,A,0,B,1,C,0
7,D,1,C,1,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,A,0,A,1,C,1,B,1,D,0
7,A,0,A,0,D,0,B,0,A,1,D,1,D,1,B,1,A,1,C,1,C,0,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,A,1,A,0,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,D,1,C,1,B,0,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,D,0,A,1,B,1,A,1,C,1,B,1,D,0
7,D,1,C,1,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,A,0,B,1,A,1,C,1,D,1,B,0,A,1,B,1,D,0,A,0,B,1,D,0
7,B,0,A,0,B,0,A,0,D,0,D,1,B,0,D,0,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,A,0
7,D,1,C,1,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,A,0,B,1,B,1
7,B,0,A,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,C,0,B,1
7,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,D,1,C,1,A,1,D,1,D,0,D,1,B,0,B,1,A,1,C,1,B,1,C,1,D,1,A,0,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,A,0,A,0,A,1,D,1,D,0,D,1,D,1,A,0,A,1,C,1,B,1,C,1,D,1,A,0,B,1,A,1,C,1,D,1,A,1,A,1,C,0,A,1,C,1,B,1,D,0
7,B,0,A,0,B,0,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,D,0,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,A,0,C,1,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
8,D,1,C,1,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,C,0,A,1,A,1,C,0,A,1,C,1,C,0,A,0
7,A,0,A,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,D,1,A,0,A,1,D,1,C,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,A,0,C,0
8,A,0,A,0,A,1,D,1,D,0,D,1,D,1,D,0,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,C,0,A,1,C,1,B,1,D,0
8,C,0,A,0,A,1,D,1,D,0,D,1,D,1,D,0,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,D,0,A,1,B,1,A,1,C,1,A,0,B,1
8,C,0,A,0,A,1,D,1,D,0,B,0,A,0,D,0,A,1,C,1,B,1,B,0,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,A,0,B,1
7,A,0,A,0,D,0,B,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,C,0,A,1,C,1,D,0,B,1
7,D,1,C,1,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,C,0,C,1,D,1,C,1,B,1,A,1,C,1,B,0,B,0,A,1,B,1,A,1,C,1,B,1,D,0
8,C,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,D,1,A,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
8,D,1,A,0,A,1,A,0,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,C,0,A,0
8,C,0,A,0,C,0,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,A,0,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,A,0,A,1,C,1,D,0,A,0
7,D,1,A,0,B,0,A,0,A,1,B,0,B,0,D,0,B,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,A,1,D,1,A,1,D,1,A,0,B,1,A,1,C,1,B,1,C,1,C,0,C,1,B,1,A,1,D,0,D,1,D,0,A,1,B,1,A,1,C,1,B,1,D,0
8,B,0,A,0,A,1,D,1,A,1,D,1,D,1,B,1,D,0,C,1,B,1,C,1,B,0,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,D,0,C,0
6,D,1,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,C,0
6,A,0,A,0,A,1,D,1,D,0,D,1,B,0,B,1,D,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,D,0,A,1,B,1,A,1,C,1,D,0,B,1
6,A,0,A,0,A,1,D,1,A,1,D,1,D,1,B,1,C,0,B,0,C,0,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,D,0,A,1,C,1,D,0,D,0
6,C,0,D,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
6,B,0,A,0,A,1,A,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,A,0,D,1,A,1,A,1,B,1,A,1,C,1,A,0,D,0
6,A,0,A,0,B,0,C,0,A,1,D,1,D,1,B,1,D,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,A,0,A,1,C,1,B,1,D,0
6,B,0,A,0,A,1,A,0,C,0,D,1,B,0,D,0,D,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,C,0,A,1,B,1,A,1,A,0,C,0,A,0
6,C,0,C,1,A,1,C,0,A,1,D,1,D,1,B,1,B,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,B,0,A,1,B,1,A,1,C,1,C,0,B,1
6,D,1,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
6,C,0,D,0,A,1,D,1,D,0,D,1,D,1,B,1,D,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,C,0,A,1,C,1,D,0,C,0
6,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,A,0,C,0,B,1
6,D,1,A,0,A,1,D,1,D,0,D,1,D,1,D,0,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,A,0,D,1,A,1,A,1,B,1,D,0,A,0,B,1,B,1
6,D,1,A,0,A,1,D,1,A,1,D,1,A,0,A,0,A,1,C,1,A,0,C,1,D,1,C,1,B,1,A,1,C,1,C,0,A,1,A,1,B,1,A,1,C,1,B,1,B,1
6,B,0,A,0,B,0,A,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
6,A,0,A,0,B,0,A,0,D,0,D,1,D,1,B,1,D,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
8,D,1,A,0,A,1,D,1,D,0,D,1,A,0,A,0,A,1,C,1,B,1,A,0,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,B,0,B,1,D,0
8,D,1,A,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,C,0,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
8,D,1,C,1,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,A,0,A,1,C,1,C,0,D,0
8,D,1,A,0,B,0,A,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,B,0,A,1,B,1,A,1,C,1,D,0,B,1
8,D,1,C,1,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,A,0,D,1,A,1,A,1,B,1,A,1,C,1,D,0,B,1
8,C,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,A,0,C,1,B,1,A,1,C,1,D,1,A,1,A,1,C,0,A,1,C,1,A,0,B,1
8,C,0,B,0,B,0,A,0,D,0,D,1,B,0,B,1,A,1,C,1,A,0,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,D,1,A,0,B,0,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,D,0,B,1
8,D,1,B,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,A,0,A,1,C,1,A,0,D,0
8,D,1,C,1,A,1,A,0,D,0,D,1,D,1,D,0,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,A,0,A,0
6,D,1,D,0,A,1,A,0,D,0,D,1,D,1,B,1,C,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,D,0,A,1,C,1,A,0,C,0
6,A,0,B,0,B,0,C,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,D,0,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
6,D,1,C,1,C,0,D,1,C,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,D,0,A,1,C,1,B,1,D,0
6,A,0,C,1,A,1,C,0,D,0,A,0,C,0,D,0,D,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,B,0,A,1,A,0,A,1,B,0,B,1,C,0
6,D,1,A,0,A,1,A,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,D,0,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
6,A,0,C,1,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,A,0,A,1,C,1,A,0,C,0
6,D,1,C,1,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,D,0,A,1,B,1,A,1,C,1,A,0,B,1
6,A,0,C,1,A,1,A,0,D,0,D,1,B,0,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,C,0,D,0,A,1,D,1,A,1,D,1,D,1,B,1,C,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,A,0,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,C,0,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,D,1,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,A,0,C,1,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,A,0,A,0,B,1,A,1,C,1,C,0,A,1,A,1,B,1,A,1,A,0,B,1,C,0
7,D,1,C,1,D,0,B,0,D,0,D,1,A,0,D,0,A,1,D,0,B,1,C,1,D,1,A,0,B,1,B,0,C,1,B,0,D,0,A,1,C,0,B,0,C,1,C,0,B,1
7,D,1,A,0,A,1,D,1,A,1,D,1,D,1,D,0,A,1,C,1,B,1,C,1,D,1,C,1,B,1,B,0,A,0,D,1,A,1,A,1,A,0,A,1,C,1,D,0,D,0
7,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,C,1,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,A,0,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
7,A,0,A,0,D,0,B,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,A,0,C,1,D,0,B,0,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,A,0,A,1,C,1,A,0,D,0
7,A,0,A,0,A,1,B,0,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,A,0,B,1,C,0,C,1,D,1,D,0,A,1,B,1,A,1,C,1,B,1,A,0
7,D,1,C,1,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,C,0,A,1,C,1,B,1,D,0
7,A,0,A,0,A,1,D,1,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,B,0,C,1,D,0,B,0,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,C,0
7,B,0,A,0,C,0,A,0,D,0,D,1,A,0,A,0,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
7,B,0,C,1,A,1,D,1,D,0,D,1,C,0,D,0,C,0,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,B,0,B,1,A,1,A,0,B,1,B,1
6,A,0,B,0,A,1,B,0,A,1,D,1,B,0,D,0,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,C,0,A,1,A,1,B,1,A,1,C,1,B,1,B,1
6,A,0,A,0,A,1,C,0,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,A,0,B,1,D,0
6,A,0,A,0,B,0,A,0,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,D,0,A,1,B,1,A,1,C,1,D,0,B,1
6,D,1,A,0,A,1,C,0,A,1,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
6,A,0,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,A,0,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,A,0,B,1,D,0
8,C,0,B,0,A,1,D,1,C,0,A,0,D,1,D,0,A,1,C,1,C,0,C,1,C,0,C,1,B,1,B,0,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,B,1
8,D,1,B,0,A,1,A,0,D,0,B,0,C,0,A,0,A,1,C,1,D,0,B,0,D,1,C,1,A,0,A,1,C,1,D,1,A,1,A,1,C,0,B,0,D,0,A,0,B,1
8,C,0,C,1,A,1,B,0,C,0,D,1,B,0,D,0,D,0,B,0,C,0,C,1,D,1,C,1,D,0,A,1,C,1,B,0,A,1,A,1,C,0,B,0,B,0,D,0,A,0
7,C,0,A,0,C,0,B,0,A,1,D,1,B,0,D,0,A,1,C,1,C,0,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,A,0,C,0,D,0
7,D,1,A,0,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,A,0,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,D,0,D,0
8,D,1,A,0,A,1,B,0,D,0,D,1,D,1,B,1,A,1,D,0,C,0,D,0,A,0,A,0,B,1,A,1,B,0,C,0,A,1,A,1,D,0,A,1,B,0,C,0,C,0
7,D,1,B,0,D,0,C,0,D,0,D,1,B,0,D,0,A,1,C,1,B,1,A,0,D,1,C,1,B,1,B,0,C,1,D,1,A,1,A,1,A,0,A,1,B,0,B,1,A,0
7,D,1,C,1,A,1,D,1,D,0,D,1,D,1,B,1,A,1,C,1,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,C,0,A,1,C,1,B,1,D,0
8,C,0,A,0,B,0,C,0,A,1,D,1,A,0,A,0,A,1,D,0,B,1,B,0,D,1,C,1,B,1,A,1,C,1,D,1,C,0,A,1,A,0,A,1,C,1,B,1,C,0
7,D,1,C,1,A,1,D,1,D,0,D,1,D,1,B,1,A,1,D,0,B,1,C,1,D,1,C,1,B,1,A,1,C,1,D,1,A,1,A,1,B,1,A,1,C,1,B,1,D,0
